feature,importance_type,importance,signed_value
ext_defensiveReboundPercentage_roll_10,ridge_abs_scaled_coef,0.44129843450817513,-0.44129843450817513
profile_draft_number,ridge_abs_scaled_coef,0.40090530979783395,-0.40090530979783395
fieldGoalsPercentage_roll_10,ridge_abs_scaled_coef,0.39454428120489493,0.39454428120489493
ext_blocksAgainst_roll_10,ridge_abs_scaled_coef,0.3871212199184145,-0.3871212199184145
profile_draft_year,ridge_abs_scaled_coef,0.36278464513833164,-0.36278464513833164
ext_percentUnassisted3PointMade_roll_10,ridge_abs_scaled_coef,0.34598915947802217,0.34598915947802217
ext_percentFieldGoalAttempts2Point_roll_10,ridge_abs_scaled_coef,0.33620274767131964,-0.33620274767131964
opp_pace_roll_10,ridge_abs_scaled_coef,0.32629463077842696,0.32629463077842696
team_effectiveFieldGoalPercentage_roll_10,ridge_abs_scaled_coef,0.3196110179369862,0.3196110179369862
ext_percentTeamSteals_roll_10,ridge_abs_scaled_coef,0.315612706183641,0.315612706183641
team_pace_roll_10,ridge_abs_scaled_coef,0.3121996804836813,0.3121996804836813
ext_tripleDouble_roll_10,ridge_abs_scaled_coef,0.30605259100587584,0.30605259100587584
opp_defensiveRating_roll_10,ridge_abs_scaled_coef,0.2963060866966627,0.2963060866966627
ext_percentUnassistedFieldGoalsMade_roll_10,ridge_abs_scaled_coef,0.2746375194710583,-0.2746375194710583
ext_percentTeamFreeThrowsAttempted_roll_10,ridge_abs_scaled_coef,0.27376258084156757,-0.27376258084156757
ext_pointsInPaint_roll_10,ridge_abs_scaled_coef,0.2522807956171625,-0.2522807956171625
ext_percentTeamFreeThrowsMade_roll_10,ridge_abs_scaled_coef,0.24410184041086413,0.24410184041086413
ext_percentAssisted3PointMade_roll_10,ridge_abs_scaled_coef,0.24205968197819488,-0.24205968197819488
is_back_to_back,ridge_abs_scaled_coef,0.2407347641633857,0.2407347641633857
opp_points_allowed_roll_10,ridge_abs_scaled_coef,0.23455096348150853,-0.23455096348150853
opp_trueShootingPercentage_allowed_roll_10,ridge_abs_scaled_coef,0.21864583130744433,-0.21864583130744433
ext_reboundsOffensive_roll_10,ridge_abs_scaled_coef,0.2098690277383817,0.2098690277383817
ext_percentTeamThreePointersAttempted_roll_10,ridge_abs_scaled_coef,0.20599727734286014,0.20599727734286014
team_pointsSecondChance_roll_10,ridge_abs_scaled_coef,0.19341760105536945,-0.19341760105536945
team_blocks_roll_10,ridge_abs_scaled_coef,0.19040997859707373,0.19040997859707373
ext_percentTeamFieldGoalsMade_roll_10,ridge_abs_scaled_coef,0.187441423393486,-0.187441423393486
ext_plusMinusPoints_roll_10,ridge_abs_scaled_coef,0.18674983201400094,0.18674983201400094
ext_percentTeamTurnovers_roll_10,ridge_abs_scaled_coef,0.18646312674238813,0.18646312674238813
ext_assistRatio_roll_10,ridge_abs_scaled_coef,0.17118576370617183,0.17118576370617183
estimatedDefensiveRating_roll_10,ridge_abs_scaled_coef,0.17054999192661374,0.17054999192661374
trueShootingPercentage_roll_10,ridge_abs_scaled_coef,0.16438149780949352,-0.16438149780949352
ext_possessions_roll_10,ridge_abs_scaled_coef,0.16150548166343148,-0.16150548166343148
ext_netRating_roll_10,ridge_abs_scaled_coef,0.1611039922104336,0.1611039922104336
opp_effectiveFieldGoalPercentage_allowed_roll_10,ridge_abs_scaled_coef,0.16017216604338108,0.16017216604338108
team_assists_roll_10,ridge_abs_scaled_coef,0.15839754192990396,0.15839754192990396
ext_estimatedUsagePercentage_roll_10,ridge_abs_scaled_coef,0.14609324244444646,0.14609324244444646
home,ridge_abs_scaled_coef,0.1456761422120039,0.1456761422120039
ext_percentTeamAssists_roll_10,ridge_abs_scaled_coef,0.14251551639282561,-0.14251551639282561
ext_percentTeamFoulsPersonal_roll_10,ridge_abs_scaled_coef,0.13978940684669383,-0.13978940684669383
opp_pointsSecondChance_allowed_roll_10,ridge_abs_scaled_coef,0.1392978160996376,0.1392978160996376
ext_pointsFastBreak_roll_10,ridge_abs_scaled_coef,0.13900167131316574,0.13900167131316574
team_points_allowed_roll_10,ridge_abs_scaled_coef,0.13520251315408255,-0.13520251315408255
offensiveRating_roll_10,ridge_abs_scaled_coef,0.13260510628634348,-0.13260510628634348
ext_spWorkOffensiveRating_roll_10,ridge_abs_scaled_coef,0.13260510628224456,-0.13260510628224456
team_threePointersPercentage_roll_10,ridge_abs_scaled_coef,0.12569833166734382,-0.12569833166734382
team_steals_roll_10,ridge_abs_scaled_coef,0.1186185201412048,0.1186185201412048
ext_percentTeamFoulsDrawn_roll_10,ridge_abs_scaled_coef,0.11820468192257065,-0.11820468192257065
team_pointsFromTurnovers_roll_10,ridge_abs_scaled_coef,0.11152042448510308,-0.11152042448510308
usagePercentage_roll_10,ridge_abs_scaled_coef,0.10871157299307027,0.10871157299307027
playerImpactEstimate_roll_10,ridge_abs_scaled_coef,0.10666665569540051,-0.10666665569540051
profile_draft_round_missing,ridge_abs_scaled_coef,0.10639880529447233,-0.10639880529447233
ext_freeThrowsAttempted_roll_10,ridge_abs_scaled_coef,0.10344427365912777,-0.10344427365912777
ext_percentTeamThreePointersMade_roll_10,ridge_abs_scaled_coef,0.09971341252830575,-0.09971341252830575
opp_pos_player_count_roll_10,ridge_abs_scaled_coef,0.09511128966221498,-0.09511128966221498
team_pointsInThePaint_roll_10,ridge_abs_scaled_coef,0.09340858292349667,0.09340858292349667
freeThrowsPercentage_roll_10,ridge_abs_scaled_coef,0.0930560968013045,-0.0930560968013045
ext_percentTeamRebounds_roll_10,ridge_abs_scaled_coef,0.08517413577687505,0.08517413577687505
ext_percentTeamPoints_roll_10,ridge_abs_scaled_coef,0.08484504526880088,0.08484504526880088
ext_estimatedNetRating_roll_10,ridge_abs_scaled_coef,0.08345259285528896,0.08345259285528896
team_win_roll_10,ridge_abs_scaled_coef,0.07997959777794222,-0.07997959777794222
ext_estimatedPace_roll_10,ridge_abs_scaled_coef,0.07541843296971071,0.07541843296971071
ext_percentTeamFieldGoalsAttempted_roll_10,ridge_abs_scaled_coef,0.07536894014010698,-0.07536894014010698
opp_steals_roll_10,ridge_abs_scaled_coef,0.07463545065474095,-0.07463545065474095
ext_percentTeamOffensiveRebounds_roll_10,ridge_abs_scaled_coef,0.07305228168580968,0.07305228168580968
opp_assists_allowed_roll_10,ridge_abs_scaled_coef,0.07250631015286498,0.07250631015286498
opp_pointsInThePaint_allowed_roll_10,ridge_abs_scaled_coef,0.07101321348044821,0.07101321348044821
ext_percentAssisted2PointMade_roll_10,ridge_abs_scaled_coef,0.06787160355713145,-0.06787160355713145
team_trueShootingPercentage_roll_10,ridge_abs_scaled_coef,0.06683716979118753,0.06683716979118753
ext_win_roll_10,ridge_abs_scaled_coef,0.06645517805117852,0.06645517805117852
ext_foulsPersonal_roll_10,ridge_abs_scaled_coef,0.06569094669532143,0.06569094669532143
ext_opponentPointsFastBreak_roll_10,ridge_abs_scaled_coef,0.062098871690222344,-0.062098871690222344
opp_pointsFastBreak_allowed_roll_10,ridge_abs_scaled_coef,0.05722372254820605,-0.05722372254820605
profile_draft_round,ridge_abs_scaled_coef,0.05375659984653781,0.05375659984653781
ext_percentPoints2Point_roll_10,ridge_abs_scaled_coef,0.053232036975817604,-0.053232036975817604
ext_estimatedOffensiveRating_roll_10,ridge_abs_scaled_coef,0.052692494544736616,0.052692494544736616
opp_win_roll_10,ridge_abs_scaled_coef,0.05214607521027261,0.05214607521027261
opp_fieldGoalsPercentage_allowed_roll_10,ridge_abs_scaled_coef,0.05141646784780974,0.05141646784780974
ext_percentUnassisted2PointMade_roll_10,ridge_abs_scaled_coef,0.0493930286890919,0.0493930286890919
ext_reboundPercentage_roll_10,ridge_abs_scaled_coef,0.04589511185499736,-0.04589511185499736
profile_draft_number_missing,ridge_abs_scaled_coef,0.04547185918240165,0.04547185918240165
opp_turnovers_forced_roll_10,ridge_abs_scaled_coef,0.03976657943495516,0.03976657943495516
team_reboundsTotal_roll_10,ridge_abs_scaled_coef,0.03435259075326746,-0.03435259075326746
ext_opponentPointsInPaint_roll_10,ridge_abs_scaled_coef,0.032185114784257465,-0.032185114784257465
ext_opponentPointsOffTurnovers_roll_10,ridge_abs_scaled_coef,0.03132040351139907,-0.03132040351139907
threePointersPercentage_roll_10,ridge_abs_scaled_coef,0.030844001147265203,0.030844001147265203
opp_rebounds_allowed_roll_10,ridge_abs_scaled_coef,0.030571559054824927,0.030571559054824927
opp_blocks_roll_10,ridge_abs_scaled_coef,0.030242940166885855,-0.030242940166885855
team_pointsFastBreak_roll_10,ridge_abs_scaled_coef,0.029096342834101913,0.029096342834101913
team_turnovers_roll_10,ridge_abs_scaled_coef,0.025553055621273173,0.025553055621273173
ext_spWorkDefensiveRating_roll_10,ridge_abs_scaled_coef,0.02513726158247226,-0.02513726158247226
defensiveRating_roll_10,ridge_abs_scaled_coef,0.025137261577895136,-0.025137261577895136
opp_estimatedDefensiveRating_roll_10,ridge_abs_scaled_coef,0.024672373014142594,0.024672373014142594
ext_offensiveReboundPercentage_roll_10,ridge_abs_scaled_coef,0.02424024466418194,0.02424024466418194
opp_pointsFromTurnovers_allowed_roll_10,ridge_abs_scaled_coef,0.024173670825194903,0.024173670825194903
ext_threePointersAttempted_roll_10,ridge_abs_scaled_coef,0.022574234702776516,-0.022574234702776516
ext_percentTeamBlocksAgainst_roll_10,ridge_abs_scaled_coef,0.021632567898385992,-0.021632567898385992
ext_pacePer40_roll_10,ridge_abs_scaled_coef,0.019869203993487173,-0.019869203993487173
ext_pointsSecondChance_roll_10,ridge_abs_scaled_coef,0.019495744616805793,0.019495744616805793
ext_percentPointsFastBreak_roll_10,ridge_abs_scaled_coef,0.018516480618065215,0.018516480618065215
ext_opponentPointsSecondChance_roll_10,ridge_abs_scaled_coef,0.018496673103561435,0.018496673103561435
ext_percentPointsOffTurnovers_roll_10,ridge_abs_scaled_coef,0.014480353818828482,0.014480353818828482
pace_roll_10,ridge_abs_scaled_coef,0.013797897149954509,-0.013797897149954509
ext_spWorkPace_roll_10,ridge_abs_scaled_coef,0.013797897147927202,-0.013797897147927202
opp_pos_starter_count_roll_10,ridge_abs_scaled_coef,0.011500208826240473,0.011500208826240473
ext_pointsOffTurnovers_roll_10,ridge_abs_scaled_coef,0.010509569977468481,-0.010509569977468481
player_age_years,ridge_abs_scaled_coef,0.009965882205625914,-0.009965882205625914
effectiveFieldGoalPercentage_roll_10,ridge_abs_scaled_coef,0.0054917055669133005,0.0054917055669133005
opp_pos_minutes_allowed_roll_10,ridge_abs_scaled_coef,0.0048076317045732155,-0.0048076317045732155
ext_home_roll_10,ridge_abs_scaled_coef,0.004531384821809472,0.004531384821809472
profile_birthdate_missing,ridge_abs_scaled_coef,0.0,0.0
