fold,feature_set,model,n_features,train_start,train_end,validation_start,validation_end,train_rows,validation_rows,fit_predict_seconds,mae,rmse,r2,mean_error,median_absolute_error
3,pre_lineup_player_team_opp,rolling_fp_10_baseline,486,2021-10-19 19:30:00,2023-10-30 19:30:00,2023-10-30 20:00:00,2024-01-25 19:00:00,52920,11760,0.001,7.905886993780884,10.085939320163966,0.5623533761624804,-0.27081226379440687,6.550000000000001
4,pre_lineup_baseline,hist_gradient_boosting,4,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.601,7.915026378283829,10.13643557240685,0.5622663241697017,0.3870577391954659,6.509632168740453
4,pre_lineup_baseline,rolling_fp_10_baseline,4,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.0,7.929980279759531,10.27054215277692,0.5506071387426988,0.3960229241110136,6.300000000000001
4,pre_lineup_compact_40,rolling_fp_10_baseline,40,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.0,7.929980279759531,10.27054215277692,0.5506071387426988,0.3960229241110136,6.300000000000001
4,pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,45,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.0,7.929980279759531,10.27054215277692,0.5506071387426988,0.3960229241110136,6.300000000000001
4,pre_lineup_player_team_opp,rolling_fp_10_baseline,486,2021-10-19 19:30:00,2024-01-25 19:00:00,2024-01-25 19:30:00,2024-04-14 15:30:00,64680,12257,0.0,7.929980279759531,10.27054215277692,0.5506071387426988,0.3960229241110136,6.300000000000001
2,pre_lineup_baseline,ridge,4,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.033,8.028297697864243,10.25424502003402,0.5210111532815332,0.12093425603483572,6.651227029209828
2,pre_lineup_baseline,hist_gradient_boosting,4,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.391,8.035915981718563,10.236793609754145,0.5226401211612443,0.006512413599404122,6.717632408406725
2,pre_lineup_baseline,rolling_fp_10_baseline,4,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.001,8.146254540365561,10.47826092495896,0.49985441700382394,0.1397858618580171,6.57
2,pre_lineup_compact_40,rolling_fp_10_baseline,40,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.001,8.146254540365561,10.47826092495896,0.49985441700382394,0.1397858618580171,6.57
2,pre_lineup_compact_40_plus_scoring,rolling_fp_10_baseline,45,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.0,8.146254540365561,10.47826092495896,0.49985441700382394,0.1397858618580171,6.57
2,pre_lineup_player_team_opp,rolling_fp_10_baseline,486,2021-10-19 19:30:00,2023-01-26 19:30:00,2023-01-26 20:00:00,2023-10-30 19:30:00,41545,11375,0.0,8.146254540365561,10.47826092495896,0.49985441700382394,0.1397858618580171,6.57
1,pre_lineup_player_team_opp,ridge,486,2021-10-19 19:30:00,2022-11-13 21:00:00,2022-11-13 21:30:00,2023-01-26 19:30:00,30304,11241,9.684,9.040671077119356,11.481340823033435,0.40924540314810676,-0.1649456417148097,7.453237001578543
