feature,importance_type,importance
freeThrowsPercentage_roll_10,random_forest_impurity,0.0027522140535369164
ext_percentTeamPoints_roll_10,random_forest_impurity,0.002749527001642728
ext_offensiveReboundPercentage_roll_10,random_forest_impurity,0.0027072102618975794
effectiveFieldGoalPercentage_roll_10,random_forest_impurity,0.0027007940477716255
trueShootingPercentage_roll_10,random_forest_impurity,0.0026986051708626437
ext_percentUnassistedFieldGoalsMade_roll_10,random_forest_impurity,0.0026670047126774164
ext_percentAssisted2PointMade_roll_10,random_forest_impurity,0.002666463396791468
ext_percentTeamFreeThrowsMade_roll_10,random_forest_impurity,0.0025996445696721154
ext_estimatedOffensiveRating_roll_10,random_forest_impurity,0.0025906462839179966
ext_percentAssistedFieldGoalsMade_roll_10,random_forest_impurity,0.0025879153029159485
estimatedDefensiveRating_roll_10,random_forest_impurity,0.0025840673543755747
profile_weight_lbs,random_forest_impurity,0.002579165103371671
ext_percentPointsInPaint_roll_10,random_forest_impurity,0.002578563799811916
ext_percentUnassisted2PointMade_roll_10,random_forest_impurity,0.002547159785378813
fieldGoalsPercentage_roll_10,random_forest_impurity,0.002534568668057377
ext_percentPoints2PointMidRange_roll_10,random_forest_impurity,0.0025006231268846764
ext_percentPoints2Point_roll_10,random_forest_impurity,0.0024202114020380524
threePointersPercentage_roll_10,random_forest_impurity,0.002394640351293798
ext_estimatedTurnoverPercentage_roll_10,random_forest_impurity,0.002388956798456679
bench_minutes_roll_10,random_forest_impurity,0.0023691880344290472
ext_estimatedNetRating_roll_10,random_forest_impurity,0.0023415819446144836
ext_percentFieldGoalAttempts2Point_roll_10,random_forest_impurity,0.002312457600234946
ext_teamTurnoverPercentage_roll_10,random_forest_impurity,0.0023012671506247944
ext_plusMinusPoints_roll_10,random_forest_impurity,0.002299484586903489
ext_netRating_roll_10,random_forest_impurity,0.0022681315090387856
ext_percentTeamThreePointersAttempted_roll_10,random_forest_impurity,0.0022469480148519442
opp_pace_roll_10,random_forest_impurity,0.002232801840528297
ext_pointsSecondChance_roll_10,random_forest_impurity,0.002144806039501076
ext_spWorkOffensiveRating_roll_10,random_forest_impurity,0.00207126649434644
ext_pointsOffTurnovers_roll_10,random_forest_impurity,0.0020394871848266366
opp_pointsSecondChance_allowed_roll_10,random_forest_impurity,0.0020304140578607864
ext_percentTeamThreePointersMade_roll_10,random_forest_impurity,0.0020295319834837187
offensiveRating_roll_10,random_forest_impurity,0.0020056612889869
opp_pointsInThePaint_allowed_roll_10,random_forest_impurity,0.002001207931206238
ext_foulsPersonal_roll_10,random_forest_impurity,0.001988877179595242
profile_years_since_draft,random_forest_impurity,0.00197613654401667
ext_percentFieldGoalAttempts3Point_roll_10,random_forest_impurity,0.0019246272160900392
ext_freeThrowsMade_roll_10,random_forest_impurity,0.0019064354322859505
opp_pointsFastBreak_allowed_roll_10,random_forest_impurity,0.0018874036124193936
opp_trueShootingPercentage_allowed_roll_10,random_forest_impurity,0.0018794655071699593
team_reboundsTotal_roll_10,random_forest_impurity,0.0018791470852444199
opp_points_allowed_roll_10,random_forest_impurity,0.0018707424774319268
team_pointsSecondChance_roll_10,random_forest_impurity,0.0018580404373117058
defensiveRating_roll_10,random_forest_impurity,0.0018364416542548724
opp_pos_minutes_allowed_roll_10,random_forest_impurity,0.0018102327730656297
opp_fieldGoalsPercentage_allowed_roll_10,random_forest_impurity,0.0018027149145055134
ext_spWorkDefensiveRating_roll_10,random_forest_impurity,0.0017975479457174048
team_pointsFromTurnovers_roll_10,random_forest_impurity,0.0017864073948344328
ext_pacePer40_roll_10,random_forest_impurity,0.0017847450011374353
starter_minutes_roll_10,random_forest_impurity,0.0017846613998667572
opp_assists_allowed_roll_10,random_forest_impurity,0.0017845242864462578
ext_percentPoints3Point_roll_10,random_forest_impurity,0.0017787354991889441
ext_percentAssisted3PointMade_roll_10,random_forest_impurity,0.0017727995044221948
opp_rebounds_allowed_roll_10,random_forest_impurity,0.0017637410746166285
opp_effectiveFieldGoalPercentage_allowed_roll_10,random_forest_impurity,0.0017556208705044852
ext_pointsFastBreak_roll_10,random_forest_impurity,0.0017554068083575828
team_pace_roll_10,random_forest_impurity,0.0017553971301368875
ext_percentUnassisted3PointMade_roll_10,random_forest_impurity,0.0017507529029466434
team_assists_roll_10,random_forest_impurity,0.0017296808153904617
team_pointsFastBreak_roll_10,random_forest_impurity,0.0017254774769284195
ext_spWorkPace_roll_10,random_forest_impurity,0.0017237258684223184
pace_roll_10,random_forest_impurity,0.0017002500944150794
team_threePointersPercentage_roll_10,random_forest_impurity,0.0016926212777863936
opp_pointsFromTurnovers_allowed_roll_10,random_forest_impurity,0.0016910516580483186
team_offensiveRating_roll_10,random_forest_impurity,0.0016581781143464557
team_turnovers_roll_10,random_forest_impurity,0.0016426323368290484
team_fieldGoalsPercentage_roll_10,random_forest_impurity,0.001627295066976705
ext_reboundsOffensive_roll_10,random_forest_impurity,0.0016270163751504038
opp_blocks_roll_10,random_forest_impurity,0.0016159978953743579
opp_defensiveRating_roll_10,random_forest_impurity,0.0015762497463203849
opp_estimatedDefensiveRating_roll_10,random_forest_impurity,0.0015643754743421277
team_blocks_roll_10,random_forest_impurity,0.0015591383395093797
team_score_roll_10,random_forest_impurity,0.001555594149113785
team_pointsInThePaint_roll_10,random_forest_impurity,0.0015426840801147305
opp_steals_roll_10,random_forest_impurity,0.0015102283342064559
team_points_allowed_roll_10,random_forest_impurity,0.001501546584416542
team_steals_roll_10,random_forest_impurity,0.0014713391602451896
team_defensiveRating_roll_10,random_forest_impurity,0.0014484948783799285
team_estimatedDefensiveRating_roll_10,random_forest_impurity,0.0014475489934089552
opp_turnovers_forced_roll_10,random_forest_impurity,0.0014375442577362874
profile_draft_year,random_forest_impurity,0.0014314571630484928
team_trueShootingPercentage_roll_10,random_forest_impurity,0.0014226157774283427
ext_threePointersAttempted_roll_10,random_forest_impurity,0.0013891372369123265
profile_height_inches,random_forest_impurity,0.0013861587119289166
team_effectiveFieldGoalPercentage_roll_10,random_forest_impurity,0.001371821133059992
ext_blocksAgainst_roll_10,random_forest_impurity,0.0013216099653943346
opp_pos_player_count_roll_10,random_forest_impurity,0.0012499875409704001
ext_home_roll_10,random_forest_impurity,0.001184602116621908
ext_win_roll_10,random_forest_impurity,0.001081647076892093
ext_tripleDouble_roll_10,random_forest_impurity,0.000882317778126024
ext_threePointersMade_roll_10,random_forest_impurity,0.000881994505373485
starter_minutes_share_roll_10,random_forest_impurity,0.0006995581433595266
opp_win_roll_10,random_forest_impurity,0.0006313715924802776
home,random_forest_impurity,0.0005696244034809106
team_win_roll_10,random_forest_impurity,0.0005333299004834323
profile_draft_round,random_forest_impurity,0.0003794350161287523
is_back_to_back,random_forest_impurity,0.00034871212977037104
current_is_starter_roll_10,random_forest_impurity,0.00023107131541549893
profile_draft_round_missing,random_forest_impurity,7.072804457022883e-05
opp_pos_starter_count_roll_10,random_forest_impurity,5.926708023042509e-05
profile_draft_number_missing,random_forest_impurity,2.566920841154528e-05
profile_birthdate_missing,random_forest_impurity,0.0
