experiment,model,anomaly_variant,group,group_value,rows,mae,rmse,mean_error,target_mean,prediction_mean
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_is_outlier,0.0,23143,7.707048251617941,9.826874278028617,-0.07355625973690826,21.011886963660718,21.085443223397625
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_is_outlier,1.0,3019,8.40468136183065,10.898746565681087,0.36704295771690837,27.16989069228221,26.8028477345653
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_is_outlier,0.0,23143,7.644147646966267,9.757203265363929,0.09188653842628407,21.011886963660718,20.920000425234434
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_is_outlier,1.0,3019,8.395255044211357,10.91262088944597,0.7126215791086851,27.16989069228221,26.457269113173528
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_is_outlier,0.0,23143,7.6601299731012995,9.769788793728832,-0.07543863024740287,21.011886963660718,21.087325593908123
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_is_outlier,1.0,3019,8.428004745215707,10.938771777815383,0.3023063824357596,27.16989069228221,26.867584309846453
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,1.0,766,6.959934318978307,8.65655066694937,0.07638424165103054,14.129242819843341,14.052858578192312
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,2.0,1539,6.801902828221335,8.679583460822677,0.40350469246278525,14.187849252761533,13.78434456029875
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,3.0,1379,7.046993767980077,8.930410286429359,0.23649107270230393,13.148368382886149,12.911877310183845
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,4.0,1527,6.488606446851632,8.36296403150851,-0.07081148143786396,12.270333988212183,12.341145469650046
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,5.0,2215,6.851260126812828,8.784463239141093,0.22933598621985474,14.789435665914223,14.560099679694366
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,6.0,3035,7.652756538564435,9.815325907524107,-0.10125021111453925,22.732784184514003,22.834034395628542
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,7.0,3622,7.902616410581614,10.007266781859597,-0.08931527823445366,24.670541137493096,24.75985641572755
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,8.0,4037,7.950952435330168,10.207187212846778,-0.024924937555705136,26.23321773594253,26.258142673498238
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,9.0,4053,7.911970467220972,10.096057615807199,0.22126704082801216,25.880064150012334,25.65879710918432
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,10.0,3989,7.942818199258809,10.125947470513596,0.08171846980842963,24.284983705189273,24.20326523538084
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,1.0,766,7.323905685994196,9.131735497767126,-0.3090847341291779,14.129242819843341,14.438327553972522
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,2.0,1539,6.922788930521925,8.830939351041062,0.20379612178324077,14.187849252761533,13.984053130978294
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,3.0,1379,7.082958328167461,8.96580341549493,0.002085746059355215,13.148368382886149,13.146282636826792
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,4.0,1527,6.542890827131768,8.424058991134258,-0.31318405292998747,12.270333988212183,12.583518041142169
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,5.0,2215,6.782899841718504,8.721944251160373,0.18381569018701605,14.789435665914223,14.605619975727205
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,6.0,3035,7.615839334154752,9.775424199797683,-0.0784264667333352,22.732784184514003,22.811210651247336
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,7.0,3622,7.904756521143916,10.01383938716095,-0.03140674842418747,24.670541137493096,24.701947885917285
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,8.0,4037,7.9493832166709115,10.242616356518266,-0.04127597878676284,26.23321773594253,26.274493714729296
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,9.0,4053,7.920362867536003,10.083505185638568,0.26687636501013445,25.880064150012334,25.6131877850022
lineup_aware_starter_flag_roll10_best_pca_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,10.0,3989,7.918465080976172,10.147016801275752,0.36804455975173755,24.284983705189273,23.916939145437535
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,1.0,766,6.996695762608233,8.717084348322786,0.32797901418554154,14.129242819843341,13.8012638056578
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,2.0,1539,6.899268418540341,8.786717290128799,0.5059687133479805,14.187849252761533,13.681880539413552
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,3.0,1379,7.077124604110579,8.961488227411255,0.14718789651641426,13.148368382886149,13.001180486369735
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,4.0,1527,6.567951507067902,8.444831880693155,-0.14493959614104868,12.270333988212183,12.41527358435323
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,5.0,2215,6.911950018690118,8.861925108072624,0.1552815774571852,14.789435665914223,14.634154088457036
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,6.0,3035,7.78056257472426,9.954822395971073,-0.04472371105535386,22.732784184514003,22.777507895569354
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,7.0,3622,8.046877995318107,10.152038698189207,0.019236284706246498,24.670541137493096,24.651304852786854
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,8.0,4037,8.054686384505743,10.333104261498745,0.1283940814965678,26.23321773594253,26.104823654445966
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,9.0,4053,7.957138662708892,10.130628506773835,0.21648866906598566,25.880064150012334,25.663575480946353
lineup_aware_starter_flag_roll10_plus_isolation,hist_gradient_boosting,lineup_aware_anomaly,isolation_score_decile,10.0,3989,7.985666157476713,10.155135772855935,0.18405849360623167,24.284983705189273,24.10092521158304
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,1.0,766,7.538672897792631,9.374672955103467,-0.8629184211837373,14.129242819843341,14.992161241027079
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,2.0,1539,7.11059193640303,8.997166727500712,-0.2391170712518026,14.187849252761533,14.426966324013335
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,3.0,1379,7.183166544497684,9.056567684922042,-0.4611190614069722,13.148368382886149,13.60948744429312
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,4.0,1527,6.648499147653669,8.544343188250956,-0.628553244993917,12.270333988212183,12.898887233206098
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,5.0,2215,6.881725661334054,8.880379450965773,-0.016791988573833797,14.789435665914223,14.806227654488055
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,6.0,3035,7.775918658996991,9.960539025738367,-0.09647134255444098,22.732784184514003,22.829255527068444
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,7.0,3622,8.059601809062677,10.192401812737009,-0.04567433108402238,24.670541137493096,24.71621546857712
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,8.0,4037,8.073086166121591,10.37521459349244,-0.05963465900617435,26.23321773594253,26.29285239494871
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,9.0,4053,8.021972018676134,10.218664393237674,0.10423861290258225,25.880064150012334,25.775825537109753
lineup_aware_starter_flag_roll10_plus_isolation,ridge,lineup_aware_anomaly,isolation_score_decile,10.0,3989,8.056741725123251,10.278602877047815,0.226667005763216,24.284983705189273,24.058316699426058
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,4.0,1770,7.191584715882325,8.992536685371713,-0.20547266204722095,16.40768361581921,16.61315627786643
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,5.0,3111,7.473881259883667,9.485184271091322,-0.1659859187466127,18.096142719382836,18.262128638129447
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,6.0,3358,7.385670611728625,9.421897400074101,0.1590000543707852,19.753156640857654,19.594156586486868
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,7.0,3727,7.710098843019761,9.848201298411619,0.08918218644915991,20.91124228602093,20.822060099571768
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,8.0,4112,7.7993399221102715,9.859170741900002,0.11333396030813504,21.794285019455256,21.680951059147116
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,9.0,4465,7.881559107815242,10.063825394728296,-0.09066891399749616,23.187211646136618,23.277880560134115
pre_lineup_compact_40_plus_scoring_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,10.0,5619,8.322661947706852,10.761574198042009,0.22856053690019887,25.903007652607226,25.67444711570703
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,4.0,1770,7.361450826003868,9.207856370818561,-0.30781286865412316,16.40768361581921,16.71549648447333
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,5.0,3111,7.467319424949738,9.507089071603119,-0.13850008663141797,18.096142719382836,18.234642806014254
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,6.0,3358,7.351204400906986,9.415516692641633,0.1724920281836327,19.753156640857654,19.58066461267402
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,7.0,3727,7.705325908638922,9.856178430086905,0.09608643721220587,20.91124228602093,20.815155848808722
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,8.0,4112,7.812947319886802,9.882999537420636,0.04238393214949107,21.794285019455256,21.75190108730576
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,9.0,4465,7.883560182592343,10.078510505054124,-0.26856864609261155,23.187211646136618,23.455780292229228
pre_lineup_compact_40_plus_scoring_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,10.0,5619,8.319509234939135,10.732948014704789,0.08347154492943416,25.903007652607226,25.819536107677788
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,4.0,1770,7.168084886133259,8.956508982803944,-0.10147892274836813,16.40768361581921,16.509162538567576
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,5.0,3111,7.4012009081934504,9.424675549383066,-0.016102869129345804,18.096142719382836,18.11224558851218
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,6.0,3358,7.31345962787092,9.361184183984944,0.2606485445566083,19.753156640857654,19.492508096301044
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,7.0,3727,7.627197673172999,9.77833042719155,0.2077573259181959,20.91124228602093,20.70348496010273
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,8.0,4112,7.759098289337209,9.833522579177773,0.23205130899173126,21.794285019455256,21.562233710463524
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,9.0,4465,7.856064014986216,10.054082797725622,-0.047578813161100096,23.187211646136618,23.23479045929772
pre_lineup_player_team_opp_plus_isolation,hist_gradient_boosting,pre_lineup_anomaly,isolation_score_decile,10.0,5619,8.288527593414189,10.713039669792817,0.37663703098891704,25.903007652607226,25.52637062161831
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,4.0,1770,7.177068989209834,8.965578289049393,-0.13629347978423523,16.40768361581921,16.543977095603445
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,5.0,3111,7.39822450614543,9.429135187089269,-0.1675771524362405,18.096142719382836,18.263719871819074
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,6.0,3358,7.268860353673689,9.311579857928157,0.07386188728174461,19.753156640857654,19.67929475357591
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,7.0,3727,7.678325393886457,9.822955046786822,0.06630527478540074,20.91124228602093,20.84493701123553
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,8.0,4112,7.798064507071938,9.86259123965933,0.053207552832538176,21.794285019455256,21.741077466622716
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,9.0,4465,7.858225648071822,10.054960598119933,-0.21276941060724083,23.187211646136618,23.399981056743858
pre_lineup_player_team_opp_plus_isolation,ridge,pre_lineup_anomaly,isolation_score_decile,10.0,5619,8.333275522583767,10.748536806851723,0.029442376526392686,25.903007652607226,25.873565276080832
