game_date,season_start,gameId,personId,player_name,playerteamName,opponentteamName,starter_label,primary_position,actual_numMinutes,fantasy_points,fantasy_points_roll_10,fantasy_points_z_5_vs_30
2024-03-19 19:00:00,2023,22300992,1628415,Dillon Brooks,Rockets,Wizards,Starter,Forward,23.0,1.2000000000000002,18.21,-0.4227511200602677
2025-11-15 20:00:00,2025,22500231,1628398,Kyle Kuzma,Bucks,Lakers,Starter,Forward,19.35,1.2000000000000002,26.43,0.782502030944964
2024-12-04 20:00:00,2024,22400323,1641748,Andre Jackson Jr.,Bucks,Hawks,Starter,Guard,11.12,1.2000000000000002,12.17,0.9189359362644792
2023-03-26 20:30:00,2022,22201121,1630183,Jaden McDaniels,Timberwolves,Warriors,Starter,Forward,9.0,1.2000000000000002,27.540000000000003,0.8035376077194196
2023-10-25 21:30:00,2023,22300073,1627884,Derrick Jones Jr.,Mavericks,Spurs,Starter,Forward,11.0,1.2000000000000002,12.77,0.239661381809789
2025-03-09 19:30:00,2024,22400924,1627824,Guerschon Yabusele,76ers,Jazz,Starter,Forward,11.39,1.4,19.54,-0.5254403620656756
2024-03-08 19:30:00,2023,22300912,1641710,Anthony Black,Magic,Knicks,Starter,Guard,22.0,1.4,11.27,0.4067148512010696
2024-12-04 19:30:00,2024,22400320,1631245,Quenton Jackson,Pacers,Nets,Starter,Guard,7.53,1.4,17.47,0.4555274740595709
2026-01-19 14:30:00,2025,22500015,1629731,Dean Wade,Cavaliers,Thunder,Starter,Center,16.3,1.4,15.95,-0.3349397533667044
2025-04-09 19:00:00,2024,22401156,203484,Kentavious Caldwell-Pope,Magic,Celtics,Starter,Guard,7.14,1.4,20.270000000000003,0.7139646771867791
2024-03-05 20:00:00,2023,22300891,1630577,Julian Champagnie,Spurs,Rockets,Starter,Forward,10.0,1.4,15.62,0.6243195962833641
2025-04-13 15:30:00,2024,22401195,1630531,Jaden Springer,Jazz,Timberwolves,Starter,Guard,6.08,1.4,12.1,0.6783352322480675
2024-01-19 19:00:00,2023,22300585,1631216,Caleb Houstan,Magic,76ers,Starter,Guard,15.0,1.4,15.43,0.4147257479397256
2023-12-30 17:00:00,2023,22300439,1630181,R.J. Hampton,Heat,Jazz,Starter,Guard,8.0,1.4,10.920000000000002,-0.591028062566197
2026-01-28 21:00:00,2025,22500678,1629004,Svi Mykhailiuk,Jazz,Warriors,Starter,Forward,15.53,1.4000000000000004,13.38,-0.2425631087508578
2023-01-10 21:00:00,2022,22200614,1628386,Jarrett Allen,Cavaliers,Jazz,Starter,Center,6.0,1.5,33.56,-0.0982165290480696
2022-11-11 19:30:00,2022,22200178,202709,Cory Joseph,Pistons,Knicks,Starter,Guard,5.0,1.5,9.419999999999998,-1.2379957832463988
2025-01-01 22:00:00,2024,22400462,200768,Kyle Lowry,76ers,Kings,Starter,Guard,17.21,1.5,8.68,-0.4806802924065674
2022-12-27 20:30:00,2022,22200512,1629628,RJ Barrett,Knicks,Mavericks,Starter,Forward,1.0,1.5,37.24,0.4952493428202235
2024-02-27 20:00:00,2023,22300838,1631110,Jeremy Sochan,Spurs,Timberwolves,Starter,Forward,15.0,1.5,25.29,0.1184602226749192
2023-12-08 20:00:00,2023,22301221,1630162,Anthony Edwards,Timberwolves,Grizzlies,Starter,Guard,3.0,1.5,44.620000000000005,-0.0370834629211346
2023-02-09 22:00:00,2022,22200834,1631108,Max Christie,Lakers,Bucks,Starter,Guard,12.0,1.5,9.19,0.0356521823051957
2024-01-05 21:00:00,2023,22300488,1641710,Anthony Black,Magic,Nuggets,Starter,Guard,4.0,1.5,16.18,-0.1811615020673883
2022-11-09 19:30:00,2022,22200164,1629629,Cam Reddish,Knicks,Nets,Starter,Forward,17.0,1.5,13.660000000000002,0.0301229888025335
2023-11-26 18:00:00,2023,22300249,1631367,Jacob Gilyard,Grizzlies,Timberwolves,Starter,Guard,16.0,1.5,13.444444444444445,0.1067582743138141
2022-11-01 20:00:00,2022,22200105,203082,Terrence Ross,Magic,Thunder,Starter,Forward,3.0,1.5,18.04,0.666277009301605
2026-01-17 22:00:00,2025,22500601,1629216,Gabe Vincent,Lakers,Trail Blazers,Starter,Guard,22.52,1.5,10.15,-0.0700772582262168
2025-04-13 13:00:00,2024,22401189,1628386,Jarrett Allen,Cavaliers,Pacers,Starter,Center,0.41,1.5,30.360000000000003,-0.5268875564015106
2025-11-11 23:00:00,2025,22500212,203471,Dennis Schroder,Kings,Nuggets,Starter,Guard,20.5,1.5,29.07,0.3210776363684596
2025-11-17 20:00:00,2025,22500246,1631108,Max Christie,Mavericks,Timberwolves,Starter,Guard,18.45,1.5,26.55,1.073752167303221
2022-11-04 22:00:00,2022,22200130,1629661,Cameron Johnson,Suns,Trail Blazers,Starter,Forward,5.0,1.5,25.910000000000004,0.5222577928149527
2025-11-05 19:00:00,2025,22500173,1630560,Cam Thomas,Nets,Pacers,Starter,Guard,5.35,1.5,31.5,-0.2472859101277837
2023-01-28 20:00:00,2022,22200747,202685,Jonas Valanciunas,Pelicans,Wizards,Starter,Center,8.0,1.5999999999999996,34.89,-0.0260859239989892
2024-04-07 17:00:00,2023,22301133,1629130,Duncan Robinson,Heat,Pacers,Starter,Forward,12.0,1.5999999999999996,18.66,-0.7980039481710228
2025-10-30 20:00:00,2025,22500139,1642366,Quinten Post,Warriors,Bucks,Starter,Center,9.39,1.5999999999999996,9.28,-0.518210892445661
2025-12-18 20:00:00,2025,22500369,1629652,Luguentz Dort,Thunder,Clippers,Starter,Guard,18.04,1.7000000000000002,17.449999999999996,-0.2621484102718011
2024-03-18 20:00:00,2023,22300986,1641739,Toumani Camara,Trail Blazers,Bulls,Starter,Forward,14.0,1.7000000000000002,21.58,0.5890587672198503
2024-02-04 15:00:00,2023,22300704,1628995,Kevin Knox II,Pistons,Magic,Starter,Forward,13.0,1.7000000000000002,11.36,-0.4131350679018852
2024-03-04 21:00:00,2023,22300882,1641718,Keyonte George,Jazz,Wizards,Starter,Guard,5.0,1.7000000000000002,28.880000000000003,0.5609021217425698
2023-02-01 19:00:00,2022,22200771,203994,Jusuf Nurkic,Trail Blazers,Grizzlies,Starter,Center,2.0,1.7000000000000002,30.12,-0.6638801307564732
2024-03-27 19:30:00,2023,22301053,1630534,Ochai Agbaji,Raptors,Knicks,Starter,Guard,5.0,1.7000000000000002,19.91,1.5159305342302292
2025-01-06 19:30:00,2024,22400496,1631216,Caleb Houstan,Magic,Knicks,Starter,Guard,15.59,1.7000000000000002,8.18,1.3737986966449152
2022-12-28 19:30:00,2022,22200518,1629022,Lonnie Walker IV,Lakers,Heat,Starter,Forward,20.0,1.9,19.7,-0.0332594881241771
2023-11-15 19:30:00,2023,22300195,1641748,Andre Jackson Jr.,Bucks,Raptors,Starter,Guard,16.0,1.9,6.033333333333334,-0.1138372296704053
2025-01-30 22:00:00,2024,22400678,1641710,Anthony Black,Magic,Trail Blazers,Starter,Guard,18.5,1.9,24.07,0.5816447171987006
2022-12-14 19:00:00,2022,22200415,203110,Draymond Green,Warriors,Pacers,Starter,Forward,27.0,1.9000000000000004,29.399999999999995,-0.4126314444075933
2023-12-29 19:30:00,2023,22300431,203084,Harrison Barnes,Kings,Hawks,Starter,Forward,11.0,2.0,18.97,0.0525941187540947
2025-03-13 20:00:00,2024,22401141,1628971,Bruce Brown,Pelicans,Magic,Starter,Forward,14.27,2.0,16.43,0.0286905057555052
2024-11-25 19:00:00,2024,22400277,203914,Gary Harris,Magic,Hornets,Starter,Guard,6.51,2.0,8.66,-0.1825762383454456
2025-03-14 20:00:00,2024,22400961,203957,Dante Exum,Mavericks,Rockets,Starter,Guard,6.39,2.0,15.26,-0.112498091735902
2023-10-29 19:30:00,2023,22300098,1629680,Matisse Thybulle,Trail Blazers,76ers,Starter,Forward,10.0,2.0,14.79,-0.1664029103295401
2025-12-05 20:00:00,2025,22500348,1631260,AJ Green,Bucks,76ers,Starter,Guard,15.12,2.0,23.57,1.609277212777124
2024-11-17 15:30:00,2024,22400234,1642346,Ryan Dunn,Suns,Timberwolves,Starter,Forward,18.29,2.0,15.02,0.3880686115604687
2026-03-05 20:00:00,2025,22500904,1641709,Ausar Thompson,Pistons,Spurs,Starter,Forward,2.06,2.0,30.72,0.7980579618581488
2024-04-07 19:30:00,2023,22301141,203084,Harrison Barnes,Kings,Nets,Starter,Forward,11.0,2.0,17.240000000000002,-0.0976141045074723
2026-03-18 19:30:00,2025,22501000,1642962,Drake Powell,Nets,Thunder,Starter,Forward,16.22,2.0,10.35,0.1923583776239484
2026-04-01 20:00:00,2025,22501110,1629018,Gary Trent Jr.,Bucks,Rockets,Starter,Guard,7.28,2.0,15.53,1.3501132645041054
2026-02-23 21:30:00,2025,22500830,1642262,Cody Williams,Jazz,Rockets,Starter,Forward,14.11,2.0,18.55,-0.0620595569310982
2023-01-15 21:30:00,2022,22200655,200782,P.J. Tucker,76ers,Lakers,Starter,Forward,24.0,2.0,9.12,0.0158783730299362
2022-11-30 19:00:00,2022,22200313,1629631,De'Andre Hunter,Hawks,Magic,Starter,Forward,7.0,2.0,23.73,0.4432992389851837
2025-01-17 20:00:00,2024,22400579,1629312,Haywood Highsmith,Heat,Nuggets,Starter,Forward,13.21,2.0,21.81,0.7397845943107895
2025-01-12 18:00:00,2024,22400544,1641783,Tristan da Silva,Magic,76ers,Starter,Forward,1.01,2.0,23.52,0.7534427812565602
2022-12-25 22:30:00,2022,22200497,1626164,Devin Booker,Suns,Nuggets,Starter,Guard,4.0,2.0,44.27,-0.6614997240063695
2026-03-01 15:30:00,2025,22500871,1631124,Julian Strawther,Nuggets,Timberwolves,Starter,Guard,16.56,2.0,21.84,0.6553870606477087
2022-12-07 19:30:00,2022,22200365,1627749,Dejounte Murray,Hawks,Knicks,Starter,Guard,3.0,2.0,36.97,-0.3957865845747993
2024-01-11 14:00:00,2023,22300527,1627827,Dorian Finney-Smith,Nets,Cavaliers,Starter,Forward,14.0,2.0,18.73,-0.2527763554658055
2025-12-29 19:30:00,2025,22500449,1642366,Quinten Post,Warriors,Nets,Starter,Center,4.52,2.0,23.4,0.1146425700291346
2024-01-02 22:00:00,2023,22300463,1641710,Anthony Black,Magic,Warriors,Starter,Guard,13.0,2.0,18.54,0.6774229043560114
2024-11-22 19:30:00,2024,22400032,1630322,Lindy Waters III,Warriors,Pelicans,Starter,Forward,15.1,2.0,12.81,0.195406164663004
2024-01-29 20:30:00,2023,22300666,1628371,Jonathan Isaac,Magic,Mavericks,Starter,Forward,7.0,2.0,15.71,-0.190310100367436
2024-02-03 20:30:00,2023,22300702,201577,Robin Lopez,Bucks,Mavericks,Starter,Center,4.0,2.0,1.91,-0.4854532915022078
2022-12-31 20:00:00,2022,22200544,1631093,Jaden Ivey,Pistons,Timberwolves,Starter,Guard,19.0,2.1999999999999997,26.7,-0.0024406971882785
2025-03-04 22:00:00,2024,22400889,1629626,Bol Bol,Suns,Clippers,Starter,Center,9.05,2.2,29.090000000000003,0.9910722806418376
2023-03-08 19:30:00,2022,22200988,1630182,Josh Green,Mavericks,Pelicans,Starter,Guard,23.0,2.2,16.27,-0.6140173260994235
2025-11-08 21:00:00,2025,22500189,1629618,Jalen Pickett,Nuggets,Pacers,Starter,Guard,17.32,2.2,13.52,-0.5530970036840296
