feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
usagePercentage_momentum_3_vs_10,0.010632075594317428,0.018222446704982763,0.018222446704982763,76119
steals_momentum_5_vs_10,0.010632075594317428,0.01814178297388248,0.01814178297388248,76119
opp_pointsFromTurnovers_allowed_std_30,0.3381727907248788,0.017544774831650983,0.017544774831650983,50919
bench_minutes_roll_10,0.010632075594317428,0.017245579742417683,0.017245579742417683,76119
blocks_momentum_5_vs_10,0.010632075594317428,0.017111246787814973,0.017111246787814973,76119
pos_opp_difficulty_ratio_30,0.34243601908054644,0.017020393278694625,0.017020393278694625,50591
opp_turnovers_forced_std_30,0.3381727907248788,0.016868885755561336,0.016868885755561336,50919
opp_pointsSecondChance_allowed_roll_10,0.3381727907248788,0.016407455362495323,0.016407455362495323,50919
opp_pointsInThePaint_allowed_std_30,0.3381727907248788,0.016297460582034646,0.016297460582034646,50919
opp_pointsFromTurnovers_allowed_roll_30,0.3381727907248788,0.015962070833607987,0.015962070833607987,50919
opp_pointsFromTurnovers_allowed_roll_10,0.3381727907248788,0.015532289200928508,0.015532289200928508,50919
team_reboundsTotal_std_30,0.3381727907248788,0.015009210962622158,0.015009210962622158,50919
team_reboundsTotal_roll_30,0.3381727907248788,0.01450657762167836,0.01450657762167836,50919
opp_win_roll_5,0.3381727907248788,0.014367254847555572,-0.014367254847555572,50919
playerImpactEstimate_momentum_10_vs_30,0.010632075594317428,0.013551684665828066,0.013551684665828066,76119
opp_pointsFastBreak_allowed_roll_30,0.3381727907248788,0.013234490643965615,0.013234490643965615,50919
opp_turnovers_forced_roll_30,0.3381727907248788,0.013099654836811846,0.013099654836811846,50919
opp_pointsFromTurnovers_allowed_roll_5,0.3381727907248788,0.012696272131727701,0.012696272131727701,50919
opp_pointsFastBreak_allowed_std_30,0.3381727907248788,0.01230970324759585,0.01230970324759585,50919
offensiveRating_momentum_5_vs_10,0.010632075594317428,0.012126359919303142,0.012126359919303142,76119
team_defensiveRating_z_10_vs_30,0.3381727907248788,0.012118788505682305,0.012118788505682305,50919
pos_opp_difficulty_ratio_10,0.34243601908054644,0.012000256266769498,0.012000256266769498,50591
team_defensiveRating_momentum_10_vs_30,0.3381727907248788,0.011839896616142605,0.011839896616142605,50919
pos_opp_difficulty_roll_10,0.34243601908054644,0.011557955167364065,0.011557955167364065,50591
opp_trueShootingPercentage_allowed_roll_30,0.3381727907248788,0.011552472967214452,-0.011552472967214452,50919
bench_minutes_roll_5,0.010632075594317428,0.011489548072447663,0.011489548072447663,76119
opp_defensiveRating_momentum_10_vs_30,0.3381727907248788,0.011447302325622778,0.011447302325622778,50919
opp_defensiveRating_z_10_vs_30,0.3381727907248788,0.011334512237432398,0.011334512237432398,50919
team_score_std_30,0.3381727907248788,0.011317582022759662,-0.011317582022759662,50919
pos_opp_difficulty_ratio_5,0.34243601908054644,0.011233280741970808,0.011233280741970808,50591
team_threePointersPercentage_std_30,0.3381727907248788,0.011193030444550008,-0.011193030444550008,50919
team_defensiveRating_z_5_vs_30,0.3381727907248788,0.011019887530863224,0.011019887530863224,50919
opp_pointsSecondChance_allowed_roll_5,0.3381727907248788,0.011019030191759946,0.011019030191759946,50919
opp_points_allowed_momentum_10_vs_30,0.3381727907248788,0.010637861552113501,0.010637861552113501,50919
opp_pointsFastBreak_allowed_roll_10,0.3381727907248788,0.010186102402360562,0.010186102402360562,50919
team_pointsFastBreak_roll_30,0.3424100237856948,0.010129555355644738,0.010129555355644738,50593
pos_opp_difficulty_roll_5,0.34243601908054644,0.010076151289749988,0.010076151289749988,50591
opp_points_allowed_z_10_vs_30,0.3381727907248788,0.009901834255060572,0.009901834255060572,50919
team_win_std_30,0.3381727907248788,0.009640120779508403,0.009640120779508403,50919
opp_blocks_momentum_10_vs_30,0.3381727907248788,0.009409287446772814,-0.009409287446772814,50919
opp_turnovers_forced_roll_10,0.3381727907248788,0.009368976939008166,0.009368976939008166,50919
team_pointsFastBreak_roll_10,0.34272196732391436,0.00932052971311134,0.00932052971311134,50569
opp_pointsFastBreak_allowed_roll_5,0.3381727907248788,0.009244259387356044,0.009244259387356044,50919
team_threePointersPercentage_z_5_vs_30,0.3381727907248788,0.009185547880011585,0.009185547880011585,50919
playerImpactEstimate_momentum_5_vs_10,0.010632075594317428,0.008963361607832268,0.008963361607832268,76119
opp_blocks_z_10_vs_30,0.3381727907248788,0.008944891267578177,-0.008944891267578177,50919
team_pointsFastBreak_roll_5,0.34272196732391436,0.00873392583799855,0.00873392583799855,50569
opp_effectiveFieldGoalPercentage_allowed_momentum_10_vs_30,0.3381727907248788,0.008680248968308718,0.008680248968308718,50919
