feature_set,feature,position
pre_lineup_player_team_opp,pace_roll_10,152
pre_lineup_player_team_opp,pace_roll_30,153
pre_lineup_player_team_opp,pace_std_30,154
pre_lineup_player_team_opp,pace_momentum_5_vs_10,155
pre_lineup_player_team_opp,pace_momentum_10_vs_30,156
pre_lineup_player_team_opp,pace_z_5_vs_30,157
pre_lineup_player_team_opp,pace_z_10_vs_30,158
pre_lineup_player_team_opp,starter_minutes_share_roll_3,159
pre_lineup_player_team_opp,starter_minutes_share_roll_5,160
pre_lineup_player_team_opp,starter_minutes_share_roll_10,161
pre_lineup_player_team_opp,starter_minutes_share_roll_30,162
pre_lineup_player_team_opp,team_win_roll_5,163
pre_lineup_player_team_opp,team_win_roll_10,164
pre_lineup_player_team_opp,team_win_roll_30,165
pre_lineup_player_team_opp,team_win_std_30,166
pre_lineup_player_team_opp,team_win_momentum_5_vs_10,167
pre_lineup_player_team_opp,team_win_momentum_10_vs_30,168
pre_lineup_player_team_opp,team_win_z_5_vs_30,169
pre_lineup_player_team_opp,team_win_z_10_vs_30,170
pre_lineup_player_team_opp,team_score_roll_5,171
pre_lineup_player_team_opp,team_score_roll_10,172
pre_lineup_player_team_opp,team_score_roll_30,173
pre_lineup_player_team_opp,team_score_std_30,174
pre_lineup_player_team_opp,team_score_momentum_5_vs_10,175
pre_lineup_player_team_opp,team_score_momentum_10_vs_30,176
pre_lineup_player_team_opp,team_score_z_5_vs_30,177
pre_lineup_player_team_opp,team_score_z_10_vs_30,178
pre_lineup_player_team_opp,team_points_allowed_roll_5,179
pre_lineup_player_team_opp,team_points_allowed_roll_10,180
pre_lineup_player_team_opp,team_points_allowed_roll_30,181
pre_lineup_player_team_opp,team_points_allowed_std_30,182
pre_lineup_player_team_opp,team_points_allowed_momentum_5_vs_10,183
pre_lineup_player_team_opp,team_points_allowed_momentum_10_vs_30,184
pre_lineup_player_team_opp,team_points_allowed_z_5_vs_30,185
pre_lineup_player_team_opp,team_points_allowed_z_10_vs_30,186
pre_lineup_player_team_opp,team_pace_roll_5,187
pre_lineup_player_team_opp,team_pace_roll_10,188
pre_lineup_player_team_opp,team_pace_roll_30,189
pre_lineup_player_team_opp,team_pace_std_30,190
pre_lineup_player_team_opp,team_pace_momentum_5_vs_10,191
pre_lineup_player_team_opp,team_pace_momentum_10_vs_30,192
pre_lineup_player_team_opp,team_pace_z_5_vs_30,193
pre_lineup_player_team_opp,team_pace_z_10_vs_30,194
pre_lineup_player_team_opp,team_offensiveRating_roll_5,195
pre_lineup_player_team_opp,team_offensiveRating_roll_10,196
pre_lineup_player_team_opp,team_offensiveRating_roll_30,197
pre_lineup_player_team_opp,team_offensiveRating_std_30,198
pre_lineup_player_team_opp,team_offensiveRating_momentum_5_vs_10,199
pre_lineup_player_team_opp,team_offensiveRating_momentum_10_vs_30,200
pre_lineup_player_team_opp,team_offensiveRating_z_5_vs_30,201
pre_lineup_player_team_opp,team_offensiveRating_z_10_vs_30,202
pre_lineup_player_team_opp,team_defensiveRating_roll_5,203
pre_lineup_player_team_opp,team_defensiveRating_roll_10,204
pre_lineup_player_team_opp,team_defensiveRating_roll_30,205
pre_lineup_player_team_opp,team_defensiveRating_std_30,206
pre_lineup_player_team_opp,team_defensiveRating_momentum_5_vs_10,207
pre_lineup_player_team_opp,team_defensiveRating_momentum_10_vs_30,208
pre_lineup_player_team_opp,team_defensiveRating_z_5_vs_30,209
pre_lineup_player_team_opp,team_defensiveRating_z_10_vs_30,210
pre_lineup_player_team_opp,team_threePointersPercentage_roll_5,211
pre_lineup_player_team_opp,team_threePointersPercentage_roll_10,212
pre_lineup_player_team_opp,team_threePointersPercentage_roll_30,213
pre_lineup_player_team_opp,team_threePointersPercentage_std_30,214
pre_lineup_player_team_opp,team_threePointersPercentage_momentum_5_vs_10,215
pre_lineup_player_team_opp,team_threePointersPercentage_momentum_10_vs_30,216
pre_lineup_player_team_opp,team_threePointersPercentage_z_5_vs_30,217
pre_lineup_player_team_opp,team_threePointersPercentage_z_10_vs_30,218
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_roll_5,219
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_roll_10,220
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_roll_30,221
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_std_30,222
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_momentum_5_vs_10,223
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_momentum_10_vs_30,224
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_z_5_vs_30,225
pre_lineup_player_team_opp,team_effectiveFieldGoalPercentage_z_10_vs_30,226
pre_lineup_player_team_opp,team_trueShootingPercentage_roll_5,227
pre_lineup_player_team_opp,team_trueShootingPercentage_roll_10,228
pre_lineup_player_team_opp,team_trueShootingPercentage_roll_30,229
pre_lineup_player_team_opp,team_trueShootingPercentage_std_30,230
pre_lineup_player_team_opp,team_trueShootingPercentage_momentum_5_vs_10,231
pre_lineup_player_team_opp,team_trueShootingPercentage_momentum_10_vs_30,232
pre_lineup_player_team_opp,team_trueShootingPercentage_z_5_vs_30,233
pre_lineup_player_team_opp,team_trueShootingPercentage_z_10_vs_30,234
pre_lineup_player_team_opp,team_assists_roll_5,235
pre_lineup_player_team_opp,team_assists_roll_10,236
pre_lineup_player_team_opp,team_assists_roll_30,237
pre_lineup_player_team_opp,team_assists_std_30,238
pre_lineup_player_team_opp,team_assists_momentum_5_vs_10,239
pre_lineup_player_team_opp,team_assists_momentum_10_vs_30,240
pre_lineup_player_team_opp,team_assists_z_5_vs_30,241
pre_lineup_player_team_opp,team_assists_z_10_vs_30,242
pre_lineup_player_team_opp,team_reboundsTotal_roll_5,243
pre_lineup_player_team_opp,team_reboundsTotal_roll_10,244
pre_lineup_player_team_opp,team_reboundsTotal_roll_30,245
pre_lineup_player_team_opp,team_reboundsTotal_std_30,246
pre_lineup_player_team_opp,team_reboundsTotal_momentum_5_vs_10,247
pre_lineup_player_team_opp,team_reboundsTotal_momentum_10_vs_30,248
pre_lineup_player_team_opp,team_reboundsTotal_z_5_vs_30,249
pre_lineup_player_team_opp,team_reboundsTotal_z_10_vs_30,250
pre_lineup_player_team_opp,team_steals_roll_5,251
pre_lineup_player_team_opp,team_steals_roll_10,252
pre_lineup_player_team_opp,team_steals_roll_30,253
pre_lineup_player_team_opp,team_steals_std_30,254
pre_lineup_player_team_opp,team_steals_momentum_5_vs_10,255
pre_lineup_player_team_opp,team_steals_momentum_10_vs_30,256
pre_lineup_player_team_opp,team_steals_z_5_vs_30,257
pre_lineup_player_team_opp,team_steals_z_10_vs_30,258
pre_lineup_player_team_opp,team_blocks_roll_5,259
pre_lineup_player_team_opp,team_blocks_roll_10,260
pre_lineup_player_team_opp,team_blocks_roll_30,261
pre_lineup_player_team_opp,team_blocks_std_30,262
pre_lineup_player_team_opp,team_blocks_momentum_5_vs_10,263
pre_lineup_player_team_opp,team_blocks_momentum_10_vs_30,264
pre_lineup_player_team_opp,team_blocks_z_5_vs_30,265
pre_lineup_player_team_opp,team_blocks_z_10_vs_30,266
pre_lineup_player_team_opp,team_turnovers_roll_5,267
pre_lineup_player_team_opp,team_turnovers_roll_10,268
pre_lineup_player_team_opp,team_turnovers_roll_30,269
pre_lineup_player_team_opp,team_turnovers_std_30,270
pre_lineup_player_team_opp,team_turnovers_momentum_5_vs_10,271
pre_lineup_player_team_opp,team_turnovers_momentum_10_vs_30,272
pre_lineup_player_team_opp,team_turnovers_z_5_vs_30,273
pre_lineup_player_team_opp,team_turnovers_z_10_vs_30,274
pre_lineup_player_team_opp,team_pointsInThePaint_roll_5,275
pre_lineup_player_team_opp,team_pointsInThePaint_roll_10,276
pre_lineup_player_team_opp,team_pointsInThePaint_roll_30,277
pre_lineup_player_team_opp,team_pointsInThePaint_std_30,278
pre_lineup_player_team_opp,team_pointsInThePaint_momentum_5_vs_10,279
pre_lineup_player_team_opp,team_pointsInThePaint_momentum_10_vs_30,280
pre_lineup_player_team_opp,team_pointsInThePaint_z_5_vs_30,281
pre_lineup_player_team_opp,team_pointsInThePaint_z_10_vs_30,282
pre_lineup_player_team_opp,team_pointsFastBreak_roll_5,283
pre_lineup_player_team_opp,team_pointsFastBreak_roll_10,284
pre_lineup_player_team_opp,team_pointsFastBreak_roll_30,285
pre_lineup_player_team_opp,team_pointsFastBreak_std_30,286
pre_lineup_player_team_opp,team_pointsFastBreak_momentum_5_vs_10,287
pre_lineup_player_team_opp,team_pointsFastBreak_momentum_10_vs_30,288
pre_lineup_player_team_opp,team_pointsFastBreak_z_5_vs_30,289
pre_lineup_player_team_opp,team_pointsFastBreak_z_10_vs_30,290
pre_lineup_player_team_opp,team_pointsSecondChance_roll_5,291
pre_lineup_player_team_opp,team_pointsSecondChance_roll_10,292
pre_lineup_player_team_opp,team_pointsSecondChance_roll_30,293
pre_lineup_player_team_opp,team_pointsSecondChance_std_30,294
pre_lineup_player_team_opp,team_pointsSecondChance_momentum_5_vs_10,295
pre_lineup_player_team_opp,team_pointsSecondChance_momentum_10_vs_30,296
pre_lineup_player_team_opp,team_pointsSecondChance_z_5_vs_30,297
pre_lineup_player_team_opp,team_pointsSecondChance_z_10_vs_30,298
pre_lineup_player_team_opp,team_pointsFromTurnovers_roll_5,299
pre_lineup_player_team_opp,team_pointsFromTurnovers_roll_10,300
pre_lineup_player_team_opp,team_pointsFromTurnovers_roll_30,301
pre_lineup_player_team_opp,team_pointsFromTurnovers_std_30,302
pre_lineup_player_team_opp,team_pointsFromTurnovers_momentum_5_vs_10,303
pre_lineup_player_team_opp,team_pointsFromTurnovers_momentum_10_vs_30,304
pre_lineup_player_team_opp,team_pointsFromTurnovers_z_5_vs_30,305
pre_lineup_player_team_opp,team_pointsFromTurnovers_z_10_vs_30,306
pre_lineup_player_team_opp,opp_win_roll_5,307
pre_lineup_player_team_opp,opp_win_roll_10,308
pre_lineup_player_team_opp,opp_win_roll_30,309
pre_lineup_player_team_opp,opp_win_std_30,310
pre_lineup_player_team_opp,opp_win_momentum_5_vs_10,311
pre_lineup_player_team_opp,opp_win_momentum_10_vs_30,312
pre_lineup_player_team_opp,opp_win_z_5_vs_30,313
pre_lineup_player_team_opp,opp_win_z_10_vs_30,314
pre_lineup_player_team_opp,opp_points_allowed_roll_5,315
pre_lineup_player_team_opp,opp_points_allowed_roll_10,316
pre_lineup_player_team_opp,opp_points_allowed_roll_30,317
pre_lineup_player_team_opp,opp_points_allowed_std_30,318
pre_lineup_player_team_opp,opp_points_allowed_momentum_5_vs_10,319
pre_lineup_player_team_opp,opp_points_allowed_momentum_10_vs_30,320
pre_lineup_player_team_opp,opp_points_allowed_z_5_vs_30,321
pre_lineup_player_team_opp,opp_points_allowed_z_10_vs_30,322
pre_lineup_player_team_opp,opp_pace_roll_5,323
pre_lineup_player_team_opp,opp_pace_roll_10,324
pre_lineup_player_team_opp,opp_pace_roll_30,325
pre_lineup_player_team_opp,opp_pace_std_30,326
pre_lineup_player_team_opp,opp_pace_momentum_5_vs_10,327
pre_lineup_player_team_opp,opp_pace_momentum_10_vs_30,328
pre_lineup_player_team_opp,opp_pace_z_5_vs_30,329
pre_lineup_player_team_opp,opp_pace_z_10_vs_30,330
pre_lineup_player_team_opp,opp_defensiveRating_roll_5,331
pre_lineup_player_team_opp,opp_defensiveRating_roll_10,332
pre_lineup_player_team_opp,opp_defensiveRating_roll_30,333
pre_lineup_player_team_opp,opp_defensiveRating_std_30,334
pre_lineup_player_team_opp,opp_defensiveRating_momentum_5_vs_10,335
pre_lineup_player_team_opp,opp_defensiveRating_momentum_10_vs_30,336
pre_lineup_player_team_opp,opp_defensiveRating_z_5_vs_30,337
pre_lineup_player_team_opp,opp_defensiveRating_z_10_vs_30,338
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_roll_5,339
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_roll_10,340
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_roll_30,341
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_std_30,342
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_momentum_5_vs_10,343
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_momentum_10_vs_30,344
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_z_5_vs_30,345
pre_lineup_player_team_opp,opp_effectiveFieldGoalPercentage_allowed_z_10_vs_30,346
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_roll_5,347
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_roll_10,348
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_roll_30,349
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_std_30,350
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_momentum_5_vs_10,351
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_momentum_10_vs_30,352
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_z_5_vs_30,353
pre_lineup_player_team_opp,opp_trueShootingPercentage_allowed_z_10_vs_30,354
pre_lineup_player_team_opp,opp_rebounds_allowed_roll_5,355
pre_lineup_player_team_opp,opp_rebounds_allowed_roll_10,356
pre_lineup_player_team_opp,opp_rebounds_allowed_roll_30,357
pre_lineup_player_team_opp,opp_rebounds_allowed_std_30,358
pre_lineup_player_team_opp,opp_rebounds_allowed_momentum_5_vs_10,359
pre_lineup_player_team_opp,opp_rebounds_allowed_momentum_10_vs_30,360
pre_lineup_player_team_opp,opp_rebounds_allowed_z_5_vs_30,361
pre_lineup_player_team_opp,opp_rebounds_allowed_z_10_vs_30,362
pre_lineup_player_team_opp,opp_assists_allowed_roll_5,363
pre_lineup_player_team_opp,opp_assists_allowed_roll_10,364
pre_lineup_player_team_opp,opp_assists_allowed_roll_30,365
pre_lineup_player_team_opp,opp_assists_allowed_std_30,366
pre_lineup_player_team_opp,opp_assists_allowed_momentum_5_vs_10,367
pre_lineup_player_team_opp,opp_assists_allowed_momentum_10_vs_30,368
pre_lineup_player_team_opp,opp_assists_allowed_z_5_vs_30,369
pre_lineup_player_team_opp,opp_assists_allowed_z_10_vs_30,370
pre_lineup_player_team_opp,opp_steals_roll_5,371
pre_lineup_player_team_opp,opp_steals_roll_10,372
pre_lineup_player_team_opp,opp_steals_roll_30,373
pre_lineup_player_team_opp,opp_steals_std_30,374
pre_lineup_player_team_opp,opp_steals_momentum_5_vs_10,375
pre_lineup_player_team_opp,opp_steals_momentum_10_vs_30,376
pre_lineup_player_team_opp,opp_steals_z_5_vs_30,377
pre_lineup_player_team_opp,opp_steals_z_10_vs_30,378
pre_lineup_player_team_opp,opp_blocks_roll_5,379
pre_lineup_player_team_opp,opp_blocks_roll_10,380
pre_lineup_player_team_opp,opp_blocks_roll_30,381
pre_lineup_player_team_opp,opp_blocks_std_30,382
pre_lineup_player_team_opp,opp_blocks_momentum_5_vs_10,383
pre_lineup_player_team_opp,opp_blocks_momentum_10_vs_30,384
pre_lineup_player_team_opp,opp_blocks_z_5_vs_30,385
pre_lineup_player_team_opp,opp_blocks_z_10_vs_30,386
pre_lineup_player_team_opp,opp_turnovers_forced_roll_5,387
pre_lineup_player_team_opp,opp_turnovers_forced_roll_10,388
pre_lineup_player_team_opp,opp_turnovers_forced_roll_30,389
pre_lineup_player_team_opp,opp_turnovers_forced_std_30,390
pre_lineup_player_team_opp,opp_turnovers_forced_momentum_5_vs_10,391
pre_lineup_player_team_opp,opp_turnovers_forced_momentum_10_vs_30,392
pre_lineup_player_team_opp,opp_turnovers_forced_z_5_vs_30,393
pre_lineup_player_team_opp,opp_turnovers_forced_z_10_vs_30,394
pre_lineup_player_team_opp,opp_fp_allowed_roll_5,395
pre_lineup_player_team_opp,opp_fp_allowed_roll_10,396
pre_lineup_player_team_opp,opp_fp_allowed_roll_30,397
pre_lineup_player_team_opp,opp_fp_allowed_std_30,398
pre_lineup_player_team_opp,opp_fp_allowed_momentum_5_vs_10,399
pre_lineup_player_team_opp,opp_fp_allowed_momentum_10_vs_30,400
pre_lineup_player_team_opp,opp_fp_allowed_z_5_vs_30,401
pre_lineup_player_team_opp,opp_fp_allowed_z_10_vs_30,402
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_roll_5,403
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_roll_10,404
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_roll_30,405
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_std_30,406
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_momentum_5_vs_10,407
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_momentum_10_vs_30,408
pre_lineup_player_team_opp,opp_pointsInThePaint_allowed_z_5_vs_30,409
